NB_OBJ,NB_SYS,SYSTEM_NAME,OBJ_CAT,OBJ_NAME,RA,DEC,EPOCH,PARALLAX,PARALLAX_ERROR,PARALLAX_BIBCODE,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PM_BIBCODE,RV,RV_ERROR,RV_BIBCODE,SP_TYPE,SP_BIBCODE,SP_METHOD,G_CODE,G,G_ESTIMATE,GBP,GRP,U,B,V,R,I,J,H,K,SYSTEM_BIBCODE,EXOPLANET_COUNT,GAIA_DR2,GAIA_EDR3,SIMBAD_NAME,COMMON_NAME,GJ,HD,HIP,COMMENT
1,1,alf Cen,LM,Proxima Cen,217.392321472009,-62.6760751167667,2016,768.066539187357,0.049872905,2020yCat.1350....0G,-3781.74100826516,0.031386077,769.465014647862,0.050524533,2020yCat.1350....0G,-22.345,0.006,2014MNRAS.439.3094B,M5.5,1995AJ....110.1838R,Opt Spec,3,8.984749,,11.373116,7.5685353,14.21,12.95,11.13,9.45,7.41,5.357,4.835,4.384,2018A&A...615A.172M,1,Gaia DR2 5853498713160606720,Gaia EDR3 5853498713190525696,alf Cen C,Proxima Cen,GJ 551,,HIP 70890,Proxima Cen c: candidate planet 2019ESS.....410203D
2,1,alf Cen,Planet,Proxima Cen b,217.392321472009,-62.6760751167667,2016,768.066539187357,0.049872905,FROM:ProximaCenC,,,,,,,,,,,,,,,,,,,,,,,,,2019MNRAS.487..268J,,,,,,,,,...
3,1,alf Cen,*,alf Cen A,219.902058331708,-60.83399268831,2000,743,1.3,2016A&A...586A..90P,-3679.25,3.89,473.67,3.24,2007A&A...474..653V,-22.39,0.004,2016A&A...586A..90P,G2,2006A&A...460..695T,Opt Spec,10,,-0.09,,,0.96,0.72,0.01,,,-1.15,-1.38,-1.49,2018A&A...615A.172M,,,,alf Cen A,Rigil Kentaurus,GJ 559 A,HD 128620,HIP 71683,...
4,1,alf Cen,*,alf Cen B,219.896096289873,-60.8375275655841,2000,743,1.3,2016A&A...586A..90P,-3614.39,20.48,802.98,19.52,2007A&A...474..653V,-22.39,0.004,2016A&A...586A..90P,K1,2006A&A...460..695T,Opt Spec,10,,1.34,,,2.89,2.21,1.33,,,-0.01,-0.49,-0.6,2018A&A...615A.172M,,,,alf Cen B,Toliman,GJ 559 B,HD 128621,HIP 71681,...
5,2,Barnard's Star,LM,Barnard's Star,269.448502525438,4.73942005111241,2016,546.975939730948,0.040116355,2020yCat.1350....0G,-801.550978368471,0.031820867,10362.3942065466,0.036070455,2020yCat.1350....0G,-110.353,0.0032,2018A&A...616A...7S,M3.5,2015A&A...577A.128A,Opt Spec,3,8.1939745,,9.791788,6.9580913,12.497,11.24,9.511,8.298,6.741,5.244,4.83,4.524,,,Gaia DR2 4472832130942575872,Gaia EDR3 4472832130942575872,Barnard's Star,Barnard's Star,GJ 699,,HIP 87937,Barnard's Star b: candidate planet 2018Natur.563..365R
6,3,Luhman 16,BD,Luhman 16 A,162.308643668751,-53.3180447534979,2016,501.557,0.082,2018A&A...618A.111L,-2759.502,0.147,356.856,0.15,2018A&A...618A.111L,,,,L7.5,2013ApJ...772..129B,NIR Spec,3,16.945,,20.619625,14.517294,,16.86,16.2,,14.95,10.733,9.563,8.841,2013ApJ...767L...1L,,Gaia DR2 5353626573555863424,Gaia EDR3 5353626573555863424,Luhman 16A,Luhman 16,,,,...
7,3,Luhman 16,BD,Luhman 16 B,162.308402229118,-53.3182778100269,2015.5,501.557,0.082,FROM:Luhman16A,-2759.502,0.147,356.856,0.15,FROM:Luhman16A,,,,T0.5,2013ApJ...772..129B,NIR Spec,2,16.962,,21.055134,14.453752,,,,,,11.22,10.39,9.73,2013ApJ...767L...1L,,Gaia DR2 5353626573562355584,,Luhman 16B,Luhman 16,,,,...
8,4,WISEA J085510.74-071442.5,BD,WISEA J085510.74-071442.5,133.780984,-7.243932,2016.7,439,2.4,2021ApJS..253....7K,-8123.7,1.3,673.2,1.3,2021ApJS..253....7K,,,,>Y4,2021ApJS..253....7K,NIR Phot,20,,21.91,,,,,,,,25,23.83,,,,,,WISEA J085510.74-071442.5,,,,,...
9,5,Wolf 359,LM,Wolf 359,164.10319030756,7.00272694098486,2016,415.179415678021,0.06837086,2020yCat.1350....0G,-3866.33827514368,0.08130645,-2699.21498767917,0.06910815,2020yCat.1350....0G,19.442,0.032,2020A&A...636A..36L,M6,2019AJ....157...63K,Opt Spec,3,11.038391,,13.770287,9.58545,16.706,15.541,13.507,11.684,9.507,7.085,6.482,6.084,,,,Gaia EDR3 3864972938605115520,Wolf 359,CN Leo,GJ 406,,,Wolf 359 b c: unconfirmed planets 2019arXiv190604644T
10,6,HD 95735,LM,HD 95735,165.830959675779,35.9486530326601,2016,392.752945438765,0.03206665,2020yCat.1350....0G,-580.057087213905,0.025565954,-4776.58871944349,0.030034095,2020yCat.1350....0G,-85.016,0.023,2020A&A...636A..36L,M1.5e,2013AJ....145..102L,Opt Spec,3,6.551172,,7.6911216,5.475513,10.03,8.96,7.52,5.99,4.79,4.2,3.64,3.34,,1,,Gaia EDR3 762815470562110464,HD 95735,Lalande 21185,GJ 411,HD 95735,HIP 54035,...
11,6,HD 95735,Planet,Lalande 21185 b,165.830959675779,35.9486530326601,2016,392.752945438765,0.03206665,FROM:HD95735,,,,,,,,,,,,,,,,,,,,,,,,,2019A&A...625A..17D,,,,,,,,,...
12,7,alf CMa,*,alf CMa A,101.287155333333,-16.7161158611111,2000,379.21,1.58,2007A&A...474..653V,-546.01,1.33,-1223.07,1.24,2007A&A...474..653V,-5.5,0.4,2006AstL...32..759G,A1,2013yCat....1.2023S,Opt Spec,10,,-1.49,,,-1.51,-1.46,-1.46,-1.46,-1.43,-1.36,-1.33,-1.35,1998ApJ...497..935H,,,,alf CMa A,Sirius A,GJ 244 A,HD 48915 A,HIP 32349,...
13,7,alf CMa,WD,alf CMa B,101.286625520992,-16.7209325260232,2016,374.489588528761,0.2313347,2020yCat.1350....0G,-461.570505530133,0.2779457,-914.519620901667,0.33150372,2020yCat.1350....0G,,,,DA1.9,2011ApJ...743..138G,Opt Spec,3,8.524133,,8.120362,8.398789,,8.41,8.44,,,,,,1998ApJ...497..935H,,Gaia DR2 2947050466531873024,Gaia EDR3 2947050466531873024,alf CMa B,Sirius B,GJ 244 B,HD 48915 B,,...
14,8,G 272-61,LM,G 272-61 A,24.7715542934545,-17.9482998871293,2016,367.711896181477,0.74180114,2020yCat.1350....0G,3385.31581046507,0.67216444,544.386384561952,0.3787539,2020yCat.1350....0G,37.83,0.2,2016A&A...593A.127K,M5,2015A&A...577A.128A,Opt Spec,3,10.507542,,12.820644,9.067688,,,,,,,,,1988AJ.....95.1841G,,Gaia DR2 5140693571158739840,Gaia EDR3 5140693571158739840,G 272-61A,BL Cet,GJ 65 A,,,...
15,8,G 272-61,LM,G 272-61 B,24.7716742082119,-17.9476828600085,2016,373.844312268399,0.50087124,2020yCat.1350....0G,3178.6942575749,0.42692018,584.061335038516,0.30229247,2020yCat.1350....0G,40.29,0.2,2016A&A...593A.127K,M6,2002AJ....123.2002H,Opt Spec,3,10.817838,,13.252207,9.423653,,,,,,,,,1988AJ.....95.1841G,,Gaia DR2 5140693571158739712,Gaia EDR3 5140693571158946048,G 272-61B,UV Cet,GJ 65 B,,,...
16,9,V1216 Sgr,LM,Ross 154,282.458789017522,-23.8370974487271,2016,336.026601668371,0.031666122,2020yCat.1350....0G,639.367850335873,0.03683873,-193.957925071161,0.031829588,2020yCat.1350....0G,-10.494,0.0083,2018A&A...616A...7S,M3.5e,2015AJ....149..106D,Opt Spec,3,9.126414,,10.732183,7.898147,13.528,12.19,10.43,10.23,7.703,6.222,5.655,5.37,,,Gaia DR2 4075141768785646848,Gaia EDR3 4075141768785646848,Ross 154,,GJ 729,,HIP 92403,...
17,10,HH And,LM,Ross 248,355.480015258156,44.1703757007478,2016,316.481186782269,0.044448785,2020yCat.1350....0G,112.5274649335,0.036434025,-1591.64976181455,0.026793785,2020yCat.1350....0G,-77.764,0.0108,2018A&A...616A...7S,M5,2015A&A...577A.128A,Opt Spec,3,10.379277,,12.546428,9.017014,,14.19,,11.1,,6.884,6.247,5.929,,,Gaia DR2 1926461164913660160,Gaia EDR3 1926461164913660160,Ross 248,HH And,GJ 905,,,...
18,11,eps Eri,*,eps Eri,53.2282934151755,-9.45816821629232,2016,310.577292800582,0.13549915,2020yCat.1350....0G,-974.758145249517,0.15972257,20.8758400897742,0.120366044,2020yCat.1350....0G,16.376,0.0019,2018A&A...616A...7S,K2,2006AJ....132..161G,Opt Spec,3,3.465752,,3.9824479,2.8421502,5.19,4.61,3.73,3,2.54,2.23,1.75,1.67,,1,Gaia DR2 5164707970261630080,Gaia EDR3 5164707970261890560,eps Eri,Ran,GJ 144,HD 22049,HIP 16537,...
19,11,eps Eri,Planet,eps Eri b,53.2282934151755,-9.45816821629232,2016,310.577292800582,0.13549915,FROM:epsEri,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157...33M,,,,,,,,,...
20,12,HD 217987,LM,GJ 887,346.5039166796,-35.8471642082214,2016,304.135369200104,0.01999573,2020yCat.1350....0G,6765.99513625077,0.020218689,1330.28527471798,0.016431512,2020yCat.1350....0G,8.82,0.0006,2018A&A...616A...7S,M2,2006A&A...460..695T,Opt Spec,3,6.5220323,,7.5897913,5.491506,,8.82,7.34,,,4.34,3.61,3.46,,2,Gaia DR2 6553614253923452800,Gaia EDR3 6553614253923452800,HD 217987,Lacaille 9352,GJ 887,HD 217987,HIP 114046,...
21,12,HD 217987,Planet,GJ 887 b,346.5039166796,-35.8471642082214,2016,304.135369200104,0.01999573,FROM:GJ887,,,,,,,,,,,,,,,,,,,,,,,,,2020arXiv200616372J,,,,,,,,,...
22,12,HD 217987,Planet,GJ 887 c,346.5039166796,-35.8471642082214,2016,304.135369200104,0.01999573,FROM:GJ887,,,,,,,,,,,,,,,,,,,,,,,,,2020arXiv200616372J,,,,,,,,,...
23,13,FI Vir,LM,Ross 128,176.937687990041,0.799119970236499,2016,296.305307913939,0.030185517,2020yCat.1350....0G,607.299076681182,0.03432964,-1223.028354888,0.022648253,2020yCat.1350....0G,-31.073,0.0024,2018A&A...616A...7S,M4,2019AJ....157...63K,Opt Spec,3,9.601,,11.361026,8.327767,14.223,12.905,11.153,9.859,8.184,6.505,5.945,5.654,,1,Gaia DR2 3796072592206250624,Gaia EDR3 3796072592206250624,Ross 128,FI Vir,GJ 447,,HIP 57548,...
24,13,FI Vir,Planet,Ross 128 b,176.937687990041,0.799119970236499,2016,296.305307913939,0.030185517,FROM:Ross128,,,,,,,,,,,,,,,,,,,,,,,,,2018A&A...613A..25B,,,,,,,,,...
25,14,EZ Aqr,LM,GJ 866 A,339.650693945,-15.28964705186,2016,293.6,0.9,2010A&ARv..18...67T,2314.8,8,2295.3,8,2012yCat.1322....0Z,-60,2,1953GCRV..C......0W,M5,2002AJ....123.2002H,Opt Spec,3,10.84,,12.597024,8.778989,15.762,14.33,12.38,12.12,8.677,6.553,5.954,5.537,2000A&A...353..253W,,Gaia DR2 2596740426912781696,Gaia EDR3 2596740426913080576,GJ 866 A,EZ Aqr A,GJ 866 A,,,...
26,14,EZ Aqr,LM?,GJ 866 B,339.650693945,-15.28964705186,2016,293.6,0.9,FROM:GJ866A,2314.8,8,2295.3,8,FROM:GJ866A,,,,,,,,,,,,,,,,,,,,2000A&A...353..253W,,,,GJ 866 B,EZ Aqr B,GJ 866 B,,,Possible M dwarf
27,14,EZ Aqr,LM?,GJ 866 C,339.650693945,-15.28964705186,2016,293.6,0.9,FROM:GJ866A,2314.8,8,2295.3,8,FROM:GJ866A,,,,,,,,,,,,,,,,,,,,2000A&A...353..253W,,,,GJ 866 C,EZ Aqr C,GJ 866 C,,,Possible M dwarf
28,15,61 Cyg,*,61 Cyg A,316.748479294,38.763862446498,2016,285.994948295781,0.05989728,2020yCat.1350....0G,4164.20869228467,0.055289943,3249.61388384858,0.055022996,2020yCat.1350....0G,-65.82,0.06,2018A&A...619A..81H,K5,2002AJ....123.2002H,Opt Spec,3,4.766713,,5.4397926,3.977203,7.5,6.39,5.21,4.19,3.54,3.12,2.5,2.68,2008A&A...488..667K,,Gaia DR2 1872046574983507456,Gaia EDR3 1872046609345556480,61 Cyg A,,GJ 820 A,HD 201091,,...
29,15,61 Cyg,*,61 Cyg B,316.753662752556,38.7560727720568,2016,286.005351861648,0.028940246,2020yCat.1350....0G,4105.97642820949,0.025807729,3155.94163982735,0.026797226,2020yCat.1350....0G,-64.248,0.0885,2018A&A...616A...7S,K7,2002AJ....123.2002H,Opt Spec,3,5.4506445,,6.272253,4.5569124,8.63,7.4,6.03,4.86,3.55,3.55,2.86,2.32,2008A&A...488..667K,,Gaia DR2 1872046574983497216,Gaia EDR3 1872046574983497216,61 Cyg B,,GJ 820 B,HD 201092,HIP 104217,...
30,16,alf CMi,*,alf CMi A,114.825497907981,5.22498755705948,2000,284.56,1.26,2007A&A...474..653V,-714.59,2.6,-1036.8,1.15,2007A&A...474..653V,-3.2,0.9,1953GCRV..C......0W,F5,2013yCat....1.2023S,Opt Spec,10,,1.12,,,0.82,0.79,0.37,-0.05,-0.28,-0.39,-0.56,-0.65,2015ApJ...813..106B,,,,alf CMi A,Procyon A,GJ 280 A,HD 61421,HIP 37279,...
31,16,alf CMi,WD,alf CMi B,114.8245,5.2241111,2000,284.56,1.26,FROM:alfCMiA,-709,25,-1024,25,2001AJ....121.2189O,,,,DQZ,2002ApJ...568..324P,Opt Phot,10,,10.72,,,,10.7,10.92,,,,,,2015ApJ...813..106B,,,,alf CMi B,Procyon B,GJ 280 B,,,...
32,17,BD+59 1915,LM,HD 173739,280.683070835229,59.6383579077548,2016,283.840118018439,0.021992655,2020yCat.1350....0G,-1311.67908255228,0.02710057,1792.32455583044,0.026312303,2020yCat.1350....0G,-0.772,0.005,2018A&A...616A...7S,M3,2015A&A...577A.128A,Opt Spec,3,7.854393,,9.16699,6.7059326,,10.782,,8.1,,5.189,4.741,4.432,2016MNRAS.459.3551B,,Gaia DR2 2154880616773521408,Gaia EDR3 2154880616774131840,HD 173739,,GJ 725 A,HD 173739,HIP 91768,...
33,17,BD+59 1915,LM,HD 173740,280.683086245834,59.6351454548188,2016,283.837767845006,0.028684631,2020yCat.1350....0G,-1400.26351675689,0.03854041,1862.52514774855,0.033203878,2020yCat.1350....0G,1.102,0.0037,2018A&A...616A...7S,M3.5,2015A&A...577A.128A,Opt Spec,3,8.524704,,9.959693,7.334221,,11.705,,8.9,,5.721,5.197,5,2016MNRAS.459.3551B,,Gaia DR2 2154880616772528384,Gaia EDR3 2154880616774131712,HD 173740,,GJ 725 B,HD 173740,HIP 91772,...
34,18,IRAS 00156+4344,LM,GJ 15 A,4.61322625755774,44.0247867439852,2016,280.706821579123,0.020284552,2020yCat.1350....0G,2891.51807733678,0.015489398,411.832020366147,0.01302328,2020yCat.1350....0G,11.82,0.0041,2018A&A...616A...7S,M1,2015A&A...577A.128A,Opt Spec,3,7.218567,,8.332124,6.16774,,10.12,,7.3,,5.25,4.476,4.02,1972AJ.....77..165L,2,Gaia DR2 385334230892516480,Gaia EDR3 385334230892516480,GJ 15 A,GX And,GJ 15 A,HD 1326 A,,...
35,18,IRAS 00156+4344,Planet,GJ 15 A b,4.61322625755774,44.0247867439852,2016,280.706821579123,0.020284552,FROM:GJ15A,,,,,,,,,,,,,,,,,,,,,,,,,2014ApJ...794...51H,,,,,,,,,...
36,18,IRAS 00156+4344,Planet,GJ 15 A c,4.61322625755774,44.0247867439852,2016,280.706821579123,0.020284552,FROM:GJ15A,,,,,,,,,,,,,,,,,,,,,,,,,2018A&A...617A.104P,,,,,,,,,...
37,18,IRAS 00156+4344,LM,GJ 15 B,4.62530068121755,44.0287445166436,2016,280.694731046025,0.027839076,2020yCat.1350....0G,2862.79642649738,0.022829484,336.431903718565,0.01896944,2020yCat.1350....0G,10.997,0.0152,2018A&A...616A...7S,M3.5e,2013AJ....145..102L,Opt Spec,3,9.686646,,11.291516,8.455489,,12.84,11.04,10.3,,6.789,6.191,5.948,1972AJ.....77..165L,,Gaia DR2 385334196532776576,Gaia EDR3 385334196532776576,GJ 15 B,GQ And,GJ 15 B,HD 1326 B,,...
38,19,DX Cnc,LM,G 51-15,127.450092402306,26.773285965082,2016,279.249639101248,0.06372576,2020yCat.1350....0G,-1113.69354678455,0.06408457,-612.191072828519,0.047464374,2020yCat.1350....0G,9.936,0.048,2020A&A...636A..36L,M6.5,2015A&A...577A.128A,Opt Spec,3,12.167455,,15.10305,10.705456,,16.87,,14.736,,8.235,7.617,7.26,,,Gaia DR2 703790044252850688,Gaia EDR3 703790044252850688,G 51-15,DX Cnc,GJ 1111,,,...
39,20,eps Ind,*,eps Ind A,330.872407879596,-56.797254661229,2016,274.84314152163,0.09561499,2020yCat.1350....0G,3966.66053874841,0.08557088,-2536.19198680447,0.09221277,2020yCat.1350....0G,-40.035,0.0008,2018A&A...616A...7S,K5,2006A&A...460..695T,Opt Spec,3,4.322904,,4.9079766,3.610557,,5.75,4.69,,,2.894,2.349,2.237,2010A&A...510A..99K,1,Gaia DR2 6412595290592307840,Gaia EDR3 6412595290592307840,GJ 845 A,eps Ind A,GJ 845 A,HD 209100,HIP 108870,...
40,20,eps Ind,Planet,eps Ind A b,330.872407879596,-56.797254661229,2016,274.84314152163,0.09561499,FROM:epsIndA,,,,,,,,,,,,,,,,,,,,,,,,,2019MNRAS.490.5002F,,,,,,,,,...
